,name,suppression_accuracy,false_deny_rate,mse,latency_ms,monotonic_rate,integrity_ratio,phase_accuracy,ga_gain,micro_recovery_count,veto_rate
0,normal,1.0,0.0,10697.404097700122,42.70946979522705,1.0,0.12123115689065361,1.0,0.4,0.0,0.0
1,normal_2,1.0,0.0,10055.212313922195,41.167765855789185,1.0,0.2326363437832345,1.0,0.4,0.0,0.0
2,spike,1.0,0.0,10523.643264792296,35.39128303527832,1.0,0.2124944992909779,1.0,0.25,0.0,0.375
3,spike_2,1.0,0.0,9990.05111380374,41.22251272201538,1.0,0.16985559706374048,1.0,0.4,0.0,0.0
4,flash_crash,1.0,0.0,7276.624353120353,40.846675634384155,1.0,0.09461159762284987,1.0,0.4,0.0,0.0
mean,,1.0,0.0,9708.587028667742,40.26754140853882,1.0,0.16616583893029127,1.0,0.37,0.0,0.075
