timestamp,equity
2024-01-01 00:00:00+00:00,100000.0
2024-01-01 01:00:00+00:00,100000.0
2024-01-01 02:00:00+00:00,100000.0
2024-01-01 03:00:00+00:00,100000.0
2024-01-01 04:00:00+00:00,100000.0
2024-01-01 05:00:00+00:00,100000.0
2024-01-01 06:00:00+00:00,100000.0
2024-01-01 07:00:00+00:00,100000.0
2024-01-01 08:00:00+00:00,100000.0
2024-01-01 09:00:00+00:00,100000.0
2024-01-01 10:00:00+00:00,100000.0
2024-01-01 11:00:00+00:00,100000.0
2024-01-01 12:00:00+00:00,100000.0
2024-01-01 13:00:00+00:00,100000.0
2024-01-01 14:00:00+00:00,100000.0
2024-01-01 15:00:00+00:00,100000.0
2024-01-01 16:00:00+00:00,100000.0
2024-01-01 17:00:00+00:00,100000.0
2024-01-01 18:00:00+00:00,100000.0
2024-01-01 19:00:00+00:00,100000.0
2024-01-01 20:00:00+00:00,100000.0
2024-01-01 21:00:00+00:00,100000.0
2024-01-01 22:00:00+00:00,100000.0
2024-01-01 23:00:00+00:00,100000.0
2024-01-02 00:00:00+00:00,99955.2384866
2024-01-02 01:00:00+00:00,100051.47078660001
2024-01-02 02:00:00+00:00,99905.45038660002
2024-01-02 03:00:00+00:00,99804.86878660001
2024-01-02 04:00:00+00:00,99645.99885930002
2024-01-02 05:00:00+00:00,99765.13205930003
2024-01-02 06:00:00+00:00,100361.29055930002
2024-01-02 07:00:00+00:00,100247.78325930002
2024-01-02 08:00:00+00:00,100105.07105930001
2024-01-02 09:00:00+00:00,99879.15815930002
2024-01-02 10:00:00+00:00,100050.39035930001
2024-01-02 11:00:00+00:00,100365.75105930002
2024-01-02 12:00:00+00:00,100334.03225930002
2024-01-02 13:00:00+00:00,100099.63355930001
2024-01-02 14:00:00+00:00,99870.78025930001
2024-01-02 15:00:00+00:00,100051.6094593
2024-01-02 16:00:00+00:00,100259.0509593
2024-01-02 17:00:00+00:00,100411.2948593
2024-01-02 18:00:00+00:00,100225.2479593
2024-01-02 19:00:00+00:00,100290.3205593
2024-01-02 20:00:00+00:00,100323.15625930001
2024-01-02 21:00:00+00:00,100384.59275930001
2024-01-02 22:00:00+00:00,100629.65345930001
2024-01-02 23:00:00+00:00,100692.88635930001
2024-01-03 00:00:00+00:00,100885.02385930001
2024-01-03 01:00:00+00:00,100904.36665930001
2024-01-03 02:00:00+00:00,100986.57785930001
2024-01-03 03:00:00+00:00,101166.36315930002
2024-01-03 04:00:00+00:00,100753.06195930002
2024-01-03 05:00:00+00:00,100663.03355930002
