ts,mid,phase,R,gate_state,execution_allowed
2020-01-01 01:00:00+00:00,1799.74265654073,-2.225425977719386,,SENSOR_ABSENT,False
2020-01-01 02:00:00+00:00,1800.005314459262,-0.27549245855142834,,SENSOR_ABSENT,False
2020-01-01 03:00:00+00:00,1800.334512109999,0.870444994209421,,SENSOR_ABSENT,False
2020-01-01 04:00:00+00:00,1799.65164979397,2.3939510871388023,,SENSOR_ABSENT,False
2020-01-01 05:00:00+00:00,1799.1958869665684,-2.2430370436347244,,SENSOR_ABSENT,False
2020-01-01 06:00:00+00:00,1799.240631107677,-0.5630048686870702,,SENSOR_ABSENT,False
2020-01-01 07:00:00+00:00,1799.1299462003567,-1.9772275584474728,,SENSOR_ABSENT,False
2020-01-01 08:00:00+00:00,1799.1240657952303,1.6458477188412457,,SENSOR_ABSENT,False
2020-01-01 09:00:00+00:00,1798.8255004205794,-2.2492783674168564,,SENSOR_ABSENT,False
2020-01-01 10:00:00+00:00,1799.1332897117811,-0.8541407766903432,,SENSOR_ABSENT,False
2020-01-01 11:00:00+00:00,1799.4055168891816,0.03281370250437649,,SENSOR_ABSENT,False
2020-01-01 12:00:00+00:00,1799.428627633328,0.3494772616627629,,SENSOR_ABSENT,False
2020-01-01 13:00:00+00:00,1799.8231620557667,-0.41673844437140956,,SENSOR_ABSENT,False
2020-01-01 14:00:00+00:00,1799.986790325555,1.299952397451194,,SENSOR_ABSENT,False
2020-01-01 15:00:00+00:00,1799.686037963546,-2.878794925425948,,SENSOR_ABSENT,False
2020-01-01 16:00:00+00:00,1799.8151007379747,0.9452537790457298,,SENSOR_ABSENT,False
2020-01-01 17:00:00+00:00,1799.4794918276846,-2.7574804337540013,,SENSOR_ABSENT,False
2020-01-01 18:00:00+00:00,1799.786949433142,-0.403022976448469,,SENSOR_ABSENT,False
2020-01-01 19:00:00+00:00,1799.769475364297,1.6773355508188086,,SENSOR_ABSENT,False
2020-01-01 20:00:00+00:00,1799.704773537056,2.1325638186572515,,SENSOR_ABSENT,False
